"article_title","article_headline","article_content","text_date","article_url"
"'Lose-lose situation': New Swiss bank laws could derail UBS' challenge to Wall Street giants","In a 209-page plan published Wednesday, the Swiss government proposed 22 measures aimed at tightening its policing of banks deemed ""too big to fail,"" a year after authorities were forced to broker the emergency rescue of Credit Suisse by UBS.The UBS balance sheet of around $1.7 trillion is now double Switzerland's annual GDP, prompting enhanced scrutiny of the protections around the Swiss banking sector and the broader economy.","Switzerland's tough new banking regulations create a ""lose-lose situation"" for UBS and may limit its potential to challenge Wall Street giants, according to Beat Wittmann, partner at Zurich-based Porta Advisors. In a 209-page plan published Wednesday, the Swiss government proposed 22 measures aimed at tightening its policing of banks deemed ""too big to fail,"" a year after authorities were forced to broker the emergency rescue of Credit Suisse by UBS. The government-backed takeover was the biggest merger of two systemically important banks since the Global Financial Crisis. At $1.7 trillion, the UBS balance sheet is now double the country's annual GDP, prompting enhanced scrutiny of the protections surrounding the Swiss banking sector and the broader economy in the wake of the Credit Suisse collapse. Speaking to CNBC's ""Squawk Box Europe"" on Thursday, Wittmann said that the fall of Credit Suisse was ""an entirely self-inflicted and predictable failure of government policy, central bank, regulator, and above all [of the] finance minister."" ""Then of course Credit Suisse had a failed, unsustainable business model and an incompetent leadership, and it was all indicated by an ever-falling share price and by the credit spreads throughout [20]22, [which was] completely ignored because there is no institutionalized know-how at the policymaker levels, really, to watch capital markets, which is essential in the case of the banking sector,"" he added. The Wednesday report floated giving additional powers to the Swiss Financial Market Supervisory Authority, applying capital surcharges and fortifying the financial position of subsidiaries — but stopped short of recommending a ""blanket increase"" in capital requirements. Wittman suggested the report does nothing to assuage concerns about the ability of politicians and regulators to oversee banks while ensuring their global competitiveness, saying it ""creates a lose-lose situation for Switzerland as a financial center and for UBS not to be able to develop its potential."" He argued that regulatory reform should be prioritized over tightening the screws on the country's largest banks, if UBS is to capitalize on its newfound scale and finally challenge the likes of Goldman Sachs, JPMorgan, Citigroup and Morgan Stanley — which have similarly sized balance sheets, but trade at s much higher valuation. ""It comes down to the regulatory level playing field. It's about competences of course and then about the incentives and the regulatory framework, and the regulatory framework like capital requirements is a global level exercise,"" Wittmann said. ""It cannot be that Switzerland or any other jurisdiction is imposing very, very different rules and levels there — that doesn't make any sense, then you cannot really compete."" In order for UBS to optimize its potential, Wittmann argued that the Swiss regulatory regime should come into line with that in Frankfurt, London and New York, but said that the Wednesday report showed ""no will to engage in any relevant reforms"" that would protect the Swiss economy and taxpayers, but enable UBS to ""catch up to global players and U.S. valuations."" ""The track record of the policymakers in Switzerland is that we had three global systemically relevant banks, and we have now one left, and these cases were the direct result of insufficient regulation and the enforcement of the regulation,"" he said. ""FINMA had all the legal backdrop, the instruments in place to address the situation but they didn't apply it — that's the point — and now we talk about fines, and that sounds like pennywise and pound foolish to me.""",2024-04-11,"https://www.cnbc.com/2024/04/11/lose-lose-situation-new-swiss-bank-laws-could-derail-ubs-challenge-to-wall-street-giants.html?&qsearchterm="
"Swiss banking giant UBS to launch share buyback of up to $2 billion","""Our ambition is for share repurchases to exceed our pre-acquisition level by 2026,"" it said.The new program comes after the completion of the 2022 buyback, which saw 298.5 million of it shares purchased. ","UBS on Tuesday announced a new share repurchase program of up to $2 billion, with up to $1 billion of that total expected to take place this year. ""As previously communicated, in 2024 we expect to repurchase up to USD 1bn of our shares, commencing after the completion of the merger of UBS AG and Credit Suisse AG which is expected to occur by the end of the second quarter,"" the bank said in a statement. ""Our ambition is for share repurchases to exceed our pre-acquisition level by 2026."" The new program follows the completion of the 2022 buyback, during which 298.5 million of it shares were purchased. This represented 8.62% of its stock worth $5.2 billion, according to UBS. The bank's 2022 share repurchase program concluded last month.  Buybacks take place when firms purchase their own shares on the stock exchange, reducing the portion of shares in the hands of investors. They offer a way for companies to return cash to shareholders — along with dividends — and usually coincide with a company's stock moving higher, as shares get scarcer. UBS has undertaken the mammoth task of integrating Credit Suisse's business, after announcing in late March 2023 that former chief Sergio Ermotti would return for a second spell as CEO. Figures last week showed that Ermotti earned 14.4 million Swiss francs ($15.9 million) in 2023, following his surprise return. The bank in February reported a second consecutive quarterly loss on the back of integration costs, but continued to deliver strong underlying operating profits. Shares are up more than 6% so far this year. — CNBC's Elliot Smith contributed to this article.",2024-04-02,"https://www.cnbc.com/2024/04/02/swiss-banking-giant-ubs-to-launch-share-buyback-of-up-to-2-billion.html?&qsearchterm="
"UBS CEO says integrating Credit Suisse will become a 'case study' for future big bank mergers","Credit Suisse collapsed in March 2023 following years of underperformance, scandals and risk management crises. UBS in June completed its takeover of the 167-year-old bank in a deal controversially brokered by Swiss authorities.The Swiss National Bank has said the size of the new entity flags potential competition issues that will need to be monitored.","In this article The mammoth integration of failed bank Credit Suisse into its former rival UBS will act as a ""case study,"" UBS CEO Sergio Ermotti said Friday, one that will show that big bank mergers should be allowed. ""It's going to be a case study to be evaluated globally, but also particularly in Europe, where eventually the necessity of creating stronger banks, and stronger and more competitive banks from a global standpoint of view, is in my point of view a necessity,"" Ermotti told CNBC's Steve Sedgwick at an event at the Ambrosetti Spring Forum in Italy. ""Of course, we can't just rely on a crisis to create or facilitate the merger of banks,"" Ermotti said. ""It's good to have strong players that can be part of the solution, like UBS was in the Credit Suisse case. ... But it cannot be just that part. So in that sense, I think that the real issue is, there has to be a political desire to facilitate something like that. So it's not the reality of today,"" he added. Credit Suisse collapsed in March 2023 after years of underperformance, scandals and risk management crises. UBS in June completed its takeover of the 167-year-old bank in a deal controversially brokered by Swiss authorities. The Swiss National Bank has said the size of the new entity flags potential competition issues that will need to be monitored. Ermotti said Friday, ""The good news is that, in my view, in many countries, there is a recognition that they want to protect their banks or financial institutions as national champions, which is an implied or explicit recognition of their value for their economies."" ""But the bad news is that they don't realize that in order to really be meaningful, and go to the next level of their contribution in their economies, they will need to be also more competitive globally. But without a banking union, without a capital markets union, it's going to be very, very difficult for Europe to compete with U.S. large banks."" Unlike in the U.S., European economies continue to rely on the banking sector for business financing; and Europe has a ""completely different playing field and a lack of critical mass,"" Ermotti said. ""So I hope, I'm not so convinced it's going to happen soon, but I hope eventually one day those kinds of mergers between big banks will be allowed and we can contribute to that by showing that it's possible. In the meantime, I think that in many countries, critical mass and synergies can be created by further rounds of local mergers,"" he said.",2024-04-05,"https://www.cnbc.com/2024/04/05/ubs-ceo-says-credit-suisse-will-be-a-case-study-for-big-bank-mergers.html?&qsearchterm="
"UBS chief's surprise return to the Swiss banking giant bagged him a $15.9 million paycheck","The bank announced in late March that Ermotti would return for a second spell at the helm, replacing Ralph Hamers as UBS undertook the mammoth task of integrating Credit Suisse's business.In total, the bank's executive board picked up a 140.3 million Swiss franc compensation package in 2023, a significant increase from the previous year's 106.9 million francs.","UBS CEO Sergio Ermotti earned 14.4 million Swiss francs ($15.9 million) in 2023 after his surprise return at the helm of the Swiss banking giant, following its takeover of stricken rival Credit Suisse. The bank announced in late March that Ermotti would return for a second spell as CEO, replacing Ralph Hamers from April 5 last year, as UBS undertook the mammoth task of integrating Credit Suisse's business. Ermotti's previous tenure ran from 2011 to 2020. Hamers earned 12.6 million Swiss francs in 2022 during his last full year as CEO, according to UBS' annual report published on Thursday. The figures total base and variable compensation. In total, the bank's executive board picked up a 140.3 million Swiss franc pay package in 2023, a significant increase from the previous year's 106.9 million francs. Bonuses paid to employees at the new combined bank totaled $4.5 billion, UBS revealed, the majority of which was paid in cash. This marked a 14% reduction compared with the aggregate 2022 pool of $5.3 billion for the combined entities, as UBS looks to cut costs as part of its integration of Credit Suisse. The bank last month reported a second consecutive quarterly loss on the back of integration costs, but continued to deliver strong underlying operating profits. UBS shares have gained more than 52% since Ermotti took the reins on April 5, 2023. ",NA,"https://www.cnbc.com/2024/03/28/ubs-chiefs-surprise-return-to-the-swiss-banking-giant-bagged-him-a-15point9-million-paycheck.html?&qsearchterm="
"UBS beats earnings expectations, announces up to $1 billion share buyback","The group posted a net loss attributable to shareholders of $279 million for the quarter. Analysts polled by LSEG had expected a net loss attributable to shareholders of $372 million.After that third quarter report, the market chose to focus on the bank's strong underlying operating profit before tax, which was well ahead of expectations. For the fourth quarter, that came in at $592 million.","Swiss banking giant UBS on Tuesday narrowly beat fourth-quarter earnings expectations and announced that it would recommence share buybacks worth up to $1 billion in the second half of the year. The group posted a net loss attributable to shareholders of $279 million for the quarter, its second consecutive loss due to the costs of integrating fallen rival Credit Suisse. However, analysts polled by LSEG had expected a wider net loss of $372 million. Along with the share buybacks, UBS plans to propose a dividend per share of $0.70, up 27% year-on-year. In the third quarter, UBS had posted a bigger-than-expected net loss attributable to shareholders of $785 million — which factored in $2 billion in expenses related to the integration of fallen rival Credit Suisse. After that third quarter report, the market chose to focus on the bank's strong underlying operating profit before tax, which was well ahead of expectations. For the fourth quarter, that came in at $592 million, below a company-compiled consensus of $762 million. ""I'm very pleased that, on an underlying basis, we saw actually good profitability, and we saw also good momentum with clients. We had $22 billion of inflows in net new assets and also saw very good inflows in deposits across both wealth management and the P&C (personal and corporate banking), we have managed down exposure in non-core and legacy,"" UBS CEO Sergio Ermotti told CNBC on Tuesday. ""We also made further improvements in our targets to deliver cost savings by achieving a $4 billion exit rate in cost savings in 2023, so all that contributed to good results, and this gives us the confidence to now tackle the next phase of our restructuring and integration."" UBS has so far reported a quicker than expected return of client inflows to Credit Suisse's wealth management business since the takeover, which it completed in June 2023. The integration of its stricken rival continues, with UBS embarking on a process of cutting around 3,000 Credit Suisse jobs as part of the wider restructure. UBS announced on Tuesday that it had completed the first phase of the strategic integration, and that the full merger is expected to be completed by the end of the second quarter. Here are some other highlights: Ermotti told CNBC's Silvia Amaro on Tuesday that delays are the biggest risk to the Credit Suisse integration, given the tight targets UBS has set for itself. ""2024 is a pivotal year in that sense, because we are merging in the first half of the year our two parent companies, we are merging the U.S. operation, we are merging the Swiss operations, and this will allow us then to start to realize the synergies,"" Ermotti said. ""The IT migration is the second major potential problem but we have a very concrete plan. If you think about it, we have 6,000 deliverable tasks that we need to execute, so we are planning very carefully and also in a way that doesn't create concentration risk in the execution."" UBS shares have made an indifferent start to 2024, and were down 3.3% in early trade on Tuesday. Given the various costs associated with the integration, the market will look past the headline figures in UBS earnings and focus on more fundamental indicators for the next few years, according to Morningstar Equity Analyst Johann Scholtz. ""UBS has guided that they are looking only towards 2027 before we are really going to arrive at the situation where all of the accounting noise will be out of the results, but I think there are some other numbers that we can look at that give us a good indication of the underlying health of the business,"" Scholtz told CNBC's ""Capital Connection"" on Tuesday. He suggested the key number to focus on is net new money growth in the wealth management division, particularly the Credit Suisse legacy portion of that business. ""The reason why net new money is really that important is because assets under management obviously includes market movement, so it really gives you a good indication of whether the combined entity manages to hold onto clients, and even possibly gain back some of the clients that Credit Suisse lost in its wealth management division due to concerns about the health of the Credit Suisse business,"" Scholtz explained. ""It's also important to take note that the Credit Suisse portion of the wealth management business has actually been close to a breakeven, slightly loss-making position, so it's really vital for that division that it gets some new assets under management to improve its fee income and return to profitability.""",2024-02-06,"https://www.cnbc.com/2024/02/06/ubs-beats-earnings-expectations-announces-up-to-1-billion-share-buyback.html?&qsearchterm="
"UBS CEO says Swiss public 'indoctrinated' to worry about bank's balance sheet","UBS completed its takeover of Credit Suisse in June 2023 after a rescue deal was brokered by Swiss authorities to prevent the 167-year-old institution's collapse and protect the Swiss economy.Ermotti was brought back to the helm at UBS to oversee the complex integration of Credit Suisse's business, a mission thus far deemed a resounding success by the market.","UBS CEO Sergio Ermotti on Wednesday said people with concerns about the size of the bank's balance sheet are getting ""indoctrinated"" by academics and should ""do their homework."" UBS completed its takeover of Credit Suisse in June 2023 after an emergency rescue deal was brokered by Swiss authorities to prevent the then 167-year-old institution's collapse and protect the Swiss economy. Ermotti was brought back to the helm of UBS to oversee the complex integration of Credit Suisse's business — a mission thus far deemed a resounding success by the market. The bank's share price has recovered from below 17 Swiss francs ($19.69) per share in the aftermath of the deal to over 25 Swiss francs as of Wednesday morning. However, the new entity's combined balance sheet is estimated to be around twice the size of the entire GDP of Switzerland, raising concerns about the concentration of risk in the Swiss economy. Speaking to CNBC on the sidelines of the World Economic Forum in Davos, Switzerland, on Wednesday, Ermotti said he understood why some portions of the Swiss population still have reservations, as they are being ""indoctrinated almost daily by a lot of academics"" and focusing solely on the size of the bank's balance sheet versus the national GDP. ""If you look at risk-weighted assets as a percentage of GDP or as a percentage of our balance sheet, you will discover that the new UBS is de facto very low risk, very focused business model. The risk we have is in Swiss mortgages, in Lombard loans, in stuff that is very low risk,"" he said. Ermotti contended that the ""new UBS"" incorporating its fallen rival to create a globally competitive, low-risk bank is a ""reflection of Switzerland."" ""Switzerland is a small country that punches well above its weight in many sectors — in food, in pharma, in innovation — and having a strong bank that can compete, not only in Europe, but globally, is part of our economy,"" he said. He also argued that the focus on the risk to the Swiss taxpayer fails to take into account the scale of the bank's own tax contributions, urging the public to ""look at the risks but also the benefits."" ""In that sense, our role is to help the people who are not convinced, that want to listen to arguments, to inform them so that they come to an opinion that is informed, hopefully the right one. I respect people having other opinions, but I do expect them to do their homework,"" he added.",2024-01-17,"https://www.cnbc.com/2024/01/17/ubs-ceo-says-swiss-public-indoctrinated-to-worry-about-banks-balance-sheet.html?&qsearchterm="
"UBS sees a 10% spike for gold this year as rate cut speculation swirls","Gold prices have slipped from a year-end rally so far in 2024 — but the ""power of the Fed's policy pivot should not be underestimated,"" according to UBS. Cooling interest rate expectations have contributed to recent weakness. Analysts at Scotiabank on Monday lifted their 2024 forecast for gold. ","Gold prices could close the year as much as 10% above current levels on the back of potential interest rate cuts, UBS strategists said, despite declines at the start of 2024. A UBS note on Friday described recent price moves as ""minor"" in the context of the precious metal's 15% climb through 2023 and said the ""power of the [Federal Reserve]'s policy pivot should not be underestimated."" Bullion remains above the psychological level of $2,000 per ounce, the UBS strategists said, forecasting a rise to $2,250 per ounce by the end of the year, despite near-time volatility. Analysts at Scotiabank retained a more cautious outlook, but revised their price guidance higher. In a Monday note, they said they had adopted higher gold and silver prices for this and next year, and moved their year-end gold forecast to $2,000 per ounce, from $1,900 per ounce, previously. Gold prices can be impacted by factors including geopolitical instability and market uncertainty — which can boost the appeal of bullion as a ""safe haven"" asset — and interest rates, which can make higher-yielding investments more attractive when they are raised. Markets are increasingly uncertain that the Fed will begin interest rate cuts in March. Current pricing drops the probability at around 48%, according to CME's FedWatch tool, down from as high as 81% just over a week ago. That's with two key releases on U.S. fourth-quarter economic growth and the personal consumption expenditures price index still to come this week. Investors are also monitoring coming monetary policy meetings at the Bank of Japan on Tuesday and European Central Bank on Thursday. Gold hit several record highs late last year and notched a record close of $2,078 per ounce, according to the World Gold Council. Analysts tied the rise to interest rate expectations and the global volatility stemming from the Israel-Hamas conflict. Spot gold was down 0.26% to $2,024 at 1 p.m. London time on Monday. Central banks have also been a major buyer of gold in 2022 and 2023, as they diversify their reserves. That is on the back of an expectation for 100 basis points of Fed cuts, beginning in May, ""putting pressure on the US dollar and real interest rates, which should spark fresh demand, particularly from exchange-traded gold funds,"" according to the UBS note. ""Ongoing macro and elevated geopolitical risks continue to justify holding exposure to gold for hedging and diversification purposes, in our view,"" UBS said. — CNBC's Jeff Cox contributed to this story",NA,"https://www.cnbc.com/2024/01/22/ubs-sees-a-10percent-spike-for-gold-this-year-as-rate-cut-speculation-swirls.html?&qsearchterm="
"UBS sees a raft of Fed rate cuts next year on the back of a U.S. recession","UBS sees slower growth, rising unemployment and disinflation to lead the Fed to cut its benchmark rate to a target range ending the year between 2.50% and 2.75%.Arend Kapteyn, UBS global head of economics and strategy research, told CNBC on Tuesday that the starting conditions are ""much worse now than 12 months ago,"" particularly in the form of the ""historically large"" amount of credit that is being withdrawn from the U.S. economy.","UBS expects the U.S. Federal Reserve to cut interest rates by as much as 275 basis points in 2024, almost four times the market consensus, as the world's largest economy tips into recession. In its 2024-2026 outlook for the U.S. economy, published Monday, the Swiss bank said despite economic resilience through 2023, many of the same headwinds and risks remain. Meanwhile, the bank's economists suggested that ""fewer of the supports for growth that enabled 2023 to overcome those obstacles will continue in 2024."" UBS expects disinflation and rising unemployment to weaken economic output in 2024, leading the Federal Open Market Committee to cut rates ""first to prevent the nominal funds rate from becoming increasingly restrictive as inflation falls, and later in the year to stem the economic weakening."" Between March 2022 and July 2023, the FOMC enacted a run of 11 rate hikes to take the fed funds rate from a target range of 0%-0.25% to 5.25%-5.5%. The central bank has since held at that level, prompting markets to mostly conclude that rates have peaked, and to begin speculating on the timing and scale of future cuts. However, Fed Chairman Jerome Powell said last week that he was ""not confident"" the FOMC had yet done enough to return inflation sustainably to its 2% target. UBS noted that despite the most aggressive rate-hiking cycle since the 1980s, real GDP expanded by 2.9% over the year to the end of the third quarter. However, yields have risen and stock markets have come under pressure since the September FOMC meeting. The bank believes this has renewed growth concerns and shows the economy is ""not out of the woods yet."" ""The expansion bears the increasing weight of higher interest rates. Credit and lending standards appear to be tightening beyond simply repricing. Labor market income keeps being revised lower, on net, over time,"" UBS highlighted. ""According to our estimates, spending in the economy looks elevated relative to income, pushed up by fiscal stimulus and maintained at that level by excess savings."" The bank estimates that the upward pressure on growth from fiscal impetus in 2023 will fade next year, while household savings are ""thinning out"" and balance sheets look less robust. ""Furthermore, if the economy does not slow substantially, we doubt the FOMC restores price stability. 2023 outperformed because many of these risks failed to materialize. However, that does not mean they have been eliminated,"" UBS said. ""In our view, the private sector looks less insulated from the FOMC's rate hikes next year. Looking ahead, we expect substantially slower growth in 2024, a rising unemployment rate, and meaningful reductions in the federal funds rate, with the target range ending the year between 2.50% and 2.75%."" UBS expects the economy to contract by half a percentage point in the middle of next year, with annual GDP growth dropping to just 0.3% in 2024 and unemployment rising to nearly 5% by the end of the year. ""With that added disinflationary impulse, we expect monetary policy easing next year to drive recovery in 2025, pushing GDP growth back up to roughly 2-1/2%, limiting the peak in the unemployment rate to 5.2% in early 2025. We forecast some slowing in 2026, in part due to projected fiscal consolidation,"" the bank's economists said. Arend Kapteyn, UBS global head of economics and strategy research, told CNBC on Tuesday that the starting conditions are ""much worse now than 12 months ago,"" particularly in the form of the ""historically large"" amount of credit that is being withdrawn from the U.S. economy. ""The credit impulse is now at its worst level since the global financial crisis — we think we're seeing that in the data. You've got margin compression in the U.S. which is a good precursor to layoffs, so U.S. margins are under more pressure for the economy as a whole than in Europe, for instance, which is surprising,"" he told CNBC's Joumanna Bercetche on the sidelines of the UBS European Conference. Meanwhile, private payrolls ex-health care are growing at close to zero and some of the 2023 fiscal stimulus is rolling off, Kapteyn noted, also reiterating the ""massive gap"" between real incomes and spending that means there is ""much more scope for that spending to fall down towards those income levels."" ""The counter that people then have is they say 'well why are income levels not going up, because inflation is falling, real disposable incomes should be improving?' But in the U.S., debt service for households is now increasing faster than real income growth, so we basically think there is enough there to have a few negative quarters mid-next year,"" Kapteyn argued. A recession is characterized in many economies as two consecutive quarters of contraction in real GDP. In the U.S., the National Bureau of Economic Research Business Cycle Dating Committee defines a recession as ""a significant decline in economic activity that is spread across the economy and that lasts more than a few months."" This takes into account a holistic assessment of the labor market, consumer and business spending, industrial production, and incomes. The UBS outlook on both rates and growth is well below the market consensus. Goldman Sachs projects the U.S. economy will expand by 2.1% in 2024, outpacing other developed markets. Kamakshya Trivedi, head of global FX, rates and EM strategy at Goldman Sachs, told CNBC on Monday that the Wall Street giant was ""pretty confident"" in the U.S. growth outlook. ""Real income growth looks to be pretty firm and we think that will continue to be the case. The global industrial cycle which was going through a pretty soft patch this year, we think, is showing some signs of bottoming out, including in parts of Asia, so we feel pretty confident about that,"" he told CNBC's ""Squawk Box Europe."" Trivedi added that with inflation returning gradually to target, monetary policy may become a bit more accommodative, pointing to some recent dovish comments from Fed officials. ""I think that combination of things — the lessening drag from policy, stronger industrial cycle and real income growth — makes us pretty confident that the Fed can stay on hold at this plateau,"" he concluded. Correction: Between March 2022 and July 2023, the FOMC enacted a run of 11 rate hikes to take the fed funds rate from a target range of 0%-0.25% to 5.25%-5.5%. An earlier version misstated the range.",2023-11-14,"https://www.cnbc.com/2023/11/14/ubs-sees-a-raft-of-fed-rate-cuts-next-year-on-the-back-of-a-us-recession.html?&qsearchterm="
"UBS shares rise 3% as market focuses on strong underlying profit","The bank recorded an underlying operating profit before tax of $844 million, well ahead of consensus expectations.Factoring in $2 billion in expenses related to the integration of fallen rival Credit Suisse, UBS posted a bigger-than-expected third-quarter net loss attributable to shareholders of $785 million.","UBS shares climbed on Tuesday morning after the Swiss banking giant resoundingly beat expectations for underlying profit. The bank recorded an underlying operating profit before tax of $844 million, well ahead of consensus expectations. UBS shares were up 3.2% by mid-afternoon in Europe. Factoring in $2 billion in expenses related to the integration of fallen rival Credit Suisse, UBS posted a bigger-than-expected third-quarter net loss attributable to shareholders of $785 million. Analysts polled by Reuters had anticipated a quarterly net loss of $444 million in a company-compiled poll. Here are some other highlights: ""You could see that, sequentially, we improved the underlying performance across Wealth Management, Asset Management and our Personal and Corporate banking in Switzerland. They both grew on a quarter-on-quarter basis,"" UBS CEO Sergio Ermotti told CNBC on Tuesday. ""The IB [investment bank] has been facing more challenging market conditions, particularly when you look at our business model and the fact that we have been onboarding resources from Credit Suisse. But it was a very solid quarter, and we made very good progress in our integration plans, and at the same time we saw very strong inflows from clients."" Analysts at Citi highlighted on Tuesday that the $844 million underlying profit before tax figure was ""notably ahead of prior company guidance (of break-even), treble consensus expectations and 6% ahead of our above-consensus forecast."" ""As we expected the beat is driven by better opex [operating expense], 7% below consensus, with revenues also 1% ahead. This is then slightly offset by heavier provisions,"" they noted, adding that the acceleration of Wealth Management net new money inflows in September was also ""encouraging."" Citi concluded that Tuesday's report was ""overall a good set of results"" and reiterated its Buy/High Risk rating. UBS completed its takeover of its stricken domestic rival in June and announced in August that it had ended a 9 billion Swiss franc loss protection agreement and a 100 billion Swiss franc public liquidity backstop that were put in place when the emergency rescue was agreed in March. The bank's shares soared to their highest point since late 2008 in August after its second quarter earnings results reported a $28.88 billion net profit as a result of negative goodwill on the Credit Suisse acquisition. Negative goodwill represents the fair value of assets acquired in a merger over and above the purchase price. UBS paid a discounted 3 billion Swiss francs ($3.33 billion) to acquire Credit Suisse in March, in a deal mediated by Swiss authorities to prevent the collapse of the storied but scandal-plagued lender. The stock price has since moderated slightly, but remains up more than 27% on the year. UBS is also in the process of fully integrating Credit Suisse's Swiss banking unit — a key profit center — and is expected to cut a hefty proportion of the legacy bank's workforce. UBS reported net new deposits of $33 billion across its Global Wealth Management and Personal and Corporate Banking (P&C) divisions, with $22 billion coming from Credit Suisse clients and positive deposit inflows for P&C in September, the month after UBS announced the decision to integrate the domestic bank. The bank also announced earlier this year that it is targeting gross cost savings of at least $10 billion by 2026, when it hopes to have completed the integration all of Credit Suisse Group's businesses.",2023-11-07,"https://www.cnbc.com/2023/11/07/ubs-q3-2023-earnings.html?&qsearchterm="
"We're not headed for another global financial crisis, top UBS economist says after recession warning","""I don't think we're facing the next GFC,"" Jonathan Pingle, UBS chief U.S. economist told CNBC on Wednesday. Credit tightening in the U.S. has raised concerns about the state of the economy and what could happen next. UBS said earlier this week that it anticipated a mild recession, as well as significant interest rate cuts next year. ","In this article Despite indicators like U.S. credit card debt pointing toward financial and economic pressures, another global financial crash is not imminent, UBS chief U.S. economist Jonathan Pingle believes. U.S. credit card debt soared to $1.08 trillion in the third quarter of 2023, data from the Federal Reserve Bank of New York showed earlier this month. This has sparked concerns about what rising debt levels, brought on at least in parts by higher prices, could mean for the overall economy. However, Pingle told CNBC's Joumanna Bercetche on Wednesday that it is difficult to view the data as a systemic risk. ""I don't think we're facing the next GFC [global financial crisis],"" he said on the sidelines of the UBS European Conference. Credit tightening does play a role when it comes to the lag of Federal Reserve monetary policy filtering through to the economy, Pingle suggested. ""We are still waiting to see those credit headwinds dampen activity in 2024,"" he said. Credit tightening tends to precede loan growth by several quarters, so the full impact is not yet clear, he explained. Several other factors also come into play, Pingle noted. This includes concerns about regulation in the wake of the collapse of Silicon Valley Bank, which raised alarms about the health and stability of the banking sector and prompted a crisis in regional banking, and ""rapid"" interest rate hikes, he said. The Federal Reserve began hiking interest rates in March 2022 in an effort to ease inflation and cool the economy. Eleven rate hikes have been implemented since then, with the target range for the fed funds rate rising from 0%-0.25% to 5.25%-5.5%. The Fed chose to leave rates unchanged at both of its last two meetings, and Tuesday's lower-than-expected reading of the October consumer price index prompted traders to all but erase the chances of rates being hiked at the central bank's December meeting. The CPI was flat compared to September and reflected a 3.2% rise on an annual basis, while the so-called core-CPI, which excludes food and energy prices, came in at 4% year over year. This marked the smallest rise since September 2021. ""It's great news for the Federal Reserve in their quest to restore price stability,"" Pingle told CNBC on Wednesday. Still, they are ""not out of the woods yet"" he added, saying that there was ""still a ways to go"" before the Fed reached its 2% inflation goal. A trend of disinflation is however in place, Pingle said, and if the Fed can slow the economy, it could make strong progress toward its inflation goal. ""We think its probably going to get to 2 next year. It's already falling faster than the Fed expects,"" he said. However the economy including the labor market will have to weaken further for inflation to steadily remain around 2%, Pingle expects. ""The path to two and a half we think is pretty clear, but sort of that last leg down we do think is going to take some weakening in the labor market,"" he said. In its 2024-2026 outlook for the U.S. economy, which was published Monday, UBS said it expected unemployment to rise close to 5% next year and for the economy to enter a mild recession. UBS is anticipating a contraction of the economy by around half a percentage point in mid-2024, its report suggested. A looming recession has been a key fear among investors throughout the Fed's rate-hiking cycle as many have been concerned about rates being hiked too high, too quickly. They have therefore been hoping for an imminent end to rate hikes and hints about when the Fed may start cutting rates again. UBS foresees significant rate cuts for 2024, predicting that rates could be cut by as many as 275 basis points throughout the year. Rates would be cut ""first to prevent the nominal funds rate from becoming increasingly restrictive as inflation falls, and later in the year to stem the economic weakening,"" the Swiss bank said. Rate cuts will therefore be a two-step process Pingle explained, and could start relatively early in the year. ""As early as March they should probably start at least calibrating the nominal funds rate,"" he said, whereas the second stage would likely begin when unemployment starts rising.  ",2023-11-15,"https://www.cnbc.com/2023/11/15/next-global-financial-crisis-is-not-ahead-ubs-us-chief-economist.html?&qsearchterm="
