"article_title","merged_string","text_date"
"UBS und Käse: Guerreiro do Divino Amor spielt mit Klischees","Guerreiro do Divino Amor – der Name ist portugiesisch und bedeutet so viel wie «Krieger der göttlichen Liebe». Ein Künstlername. Ein Name, der auf eine Lust am Spielerischen verweist. Auf Spass am Theatralischen. Aber auch darauf, dass hier jemand eine Botschaft hat. Der Sohn einer Brasilianerin und eines Schweizers spricht sechs Sprachen – keine davon akzentfrei, wie er gern betont. Damit ist er eigentlich überall ein Fremder und bestens geeignet, um an einer Biennale mit dem Titel «Stranieri Ovunque – Foreigners Everywhere» teilzunehmen. Ideen, Ideale, Klischees: Ein bisschen fremd ist er auch der Schweiz – zumindest der Deutschschweiz. Der Künstler verbachte einen Teil seiner Kindheit in Genf. Er hat bereits zweimal an den Swiss Art Awards teilgenommen und hatte 2022 eine umfangreiche Einzelausstellung im Centre d’Art Contemporain in Genf. Direktor Andrea Bellini schlug ihn für die Biennale vor. Auch sein künstlerisches Thema macht Guerreiro do Divino Amor zu einem idealen Biennale-Künstler: Er beschäftigt sich mit der Selbstinszenierung von Nationen. Immer wieder wird (nicht nur) in Kunstkreisen darüber diskutiert, wie zeitgemäss eine Ausstellung ist, in der die nationale Zuordnung von Kunst breiten Raum einnimmt. Guerreiro do Divino Amor hinterfragt seit 20 Jahren mit künstlerischem Blick, wie Staaten einen Mythos aus Ideen, Idealen, religiösen Vorstellungen und werbewirksamen Klischees um sich herum bauen. Nicht überraschend, aber überwältigend: Im Schweizer Pavillon zeigt er zwei neue Teile seines Langzeitprojekts. Teile, in denen es um die Schweiz geht, aber auch um Rom, um die römische Antike. Bereits im Aussenraum des Pavillons liegen antik wirkende Säulen. In einem Video, das in eine Kuppel projiziert wird, begegnet man der Helvetia, aber auch dem Schweizer Käse und der UBS. Das ist – zumindest für Schweizerinnen und Schweizer – nicht überraschend. Aber die Ästhetik ist überwältigend. Guerreiro do Divino Amor inszeniert seine Auseinandersetzung mit Nationen und ihren Mythen mit moderner Technik – und in einer überbordenden Bilderwelt. Das Schweiz-Video ist in der Kuppel eines runden Raumes zu sehen: Man sitzt da wie in einem Planetarium und wird von unglaublich schönen, bunten Bildern und der Musik überwölbt und beregnet. In einem anderen Raum erscheint eine römische Göttinnengestalt, die wie eine schillernde Drag-Queen wirkt und als leuchtendes Hologramm im Raum schwebt. Sie spielt auf antike Mythen an sowie auf gegenwärtige Fragen nach Identität und Gender. Der Schweizer Pavillon: eine Ausstellung zum Staunen und Nachdenken.","2024-04-19T08:24:00+02:00"
"Die UBS muss sterblich werden","Die Schweiz hat nur noch eine Grossbank. Wenn sie zusammenbricht, wird es brandgefährlich für das Land. Darum ist es so wichtig, was der Bundesrat in seinem 340-seitigen Bericht vorschlägt. Im Kern geht es darum, ob die Megabank UBS scheitern kann in einer Krise, so wie andere Unternehmen auch.  Um systemrelevante Banken wie die UBS sterblich zu machen, braucht es Kapital, und zwar sehr viel Kapital. Denn je dicker das Kapitalpolster ist, desto besser gelingt es, die Bank in der Krise zu zerschlagen, ohne dass der Staat – und somit die Steuerzahlenden – grosse Verluste tragen.  Massnahmen müssen konsequent umgesetzt werden: Punkto Anforderungen ans Kapital schlägt der Bundesrat nun einige wichtige Verbesserungen vor. Allerdings könnte die Regierung hier noch forscher sein. Es scheint, als gehe sie mit der UBS betont sorgsam um. Zwischen den Zeilen ist sinngemäss die Botschaft zu lesen: Wir wollen das Flaggschiff UBS nicht vom Finanzplatz Schweiz vertreiben, indem wir zu streng sind mit der Bank.  Trotzdem ist mit dem Bankenpaket einiges gewonnen, sofern die Massnahmen konsequent umgesetzt werden. Es gibt also Fortschritte. Nicht nur bekommt die Finanzmarktaufsicht mehr Macht. Sie kann früher eingreifen, wenn etwas schiefläuft bei einer systemrelevanten Bank. Und sie kann die Bankerinnen und Banker besser zur Verantwortung ziehen, wenn sie zu hohe Risiken eingehen – Stichwort Rückforderung von Boni.  Staatliche Bankenrettung wird unwahrscheinlicher: Die Schlüsselfrage der Bankenregulierung ist und bleibt allerdings offen: Würde der Bundesrat das nächste Mal wieder eine Rettungsaktion starten? Oder würde er eine schlingernde Grossbank – auch wenn sie UBS heisst und sehr, sehr wichtig ist für das Land – untergehen lassen?  Klar ist vorerst nur: Die Wahrscheinlichkeit einer staatlichen Grossbankenrettung nimmt ab, wenn die Vorschläge des Bundesrates zu geltendem Gesetz werden. Damit wäre das Too-big-to-fail-Problem nicht vollständig gelöst. Aber es wäre bedeutend entschärft.","2024-04-10T18:13:00+02:00"
"Welche Regeln braucht es für die UBS? ","Die Politik ist herausgefordert. Nach dem Debakel der Credit Suisse hat die Schweiz nur noch eine Grossbank, die UBS. Sollte die neue Megabank ins Schleudern kommen, wäre die Gefahr für die Schweiz gross. Darum legt der Bundesrat Reformvorschläge auf den Tisch für die Bankenregulierung. Wirtschaftsredaktor Jan Baumann mit den wichtigsten Fragen und Antworten zum Thema «Too big to fail».  Wann ist eine Bank systemrelevant, also «too big to fail» (TBTF)?: Systemrelevant ist eine Bank, wenn ihr Kollaps die Allgemeinheit gefährdet. Die Finanzkrise von 2008 hat gezeigt: Solche Bankenpleiten schaden der Wirtschaft. Zudem kann es zu einem Flächenbrand im weltweiten Finanzsystem kommen.  Haben systemrelevante Banken automatisch eine Staatsgarantie?: Nein, offiziell haben in der Schweiz nur viele Kantonalbanken eine (kantonale) Staatsgarantie. Umstritten ist, ob alle systemrelevanten Banken implizit – also unausgesprochen – eine Staatsgarantie haben. Die Antwort hängt unter anderem davon ab, wie sich der Staat im Krisenfall verhält: Würde der Bund die UBS dereinst in einem Notfall retten, oder die Bank fallen lassen? Die Frage ist offen. Als systemrelevant gelten heute UBS/CS sowie Raiffeisen, Postfinance und Zürcher Kantonalbank.  Wie funktioniert das Krisenregime (TBTF-Regelwerk) für Grossbanken?: Der Staat greift steuernd ein, wenn eine systemrelevante Bank zusammenzubrechen droht. Die Finanzmarktaufsicht übernimmt dabei die Federführung. Die Aufsicht lässt die Bank – vereinfacht gesagt – auf Kosten der Investorinnen und Investoren sanieren, also ohne Steuermilliarden zu riskieren. Es werden auch gewisse Schulden der Bank in Eigenmittel (Aktienkapital) umgewandelt, damit die Bank genug eigenes Geld hat. Im Fachjargon spricht man von der Abwicklung (Resolution) einer Bank. Dabei steht die Sanierung jener Geschäfte im Vordergrund, die für die Gesamtwirtschaft besonders wichtig sind, beispielsweise der Zahlungsverkehr. Auch könnten Teile der Bank stillgelegt oder verkauft werden. Könnte der Staat, falls nötig, jede beliebige Bank scheitern lassen, egal wie gross sie ist?: Das ist die Gretchenfrage. Gemäss den Vorgaben des «Too-big-to-fail»-Regimes (TBTF-Regelwerk) sollte dies grundsätzlich möglich sein. Allerdings: Inwiefern sich das Krisenregime im Ernstfall bei einer global systemrelevanten Bank wie der UBS praktisch umsetzen liesse, wird in Fachkreisen und auf politischer Ebene heiss diskutiert. Wer befasst sich alles mit der Bankenstabilität?: Hüter der Finanzstabilität sind in der Schweiz die Schweizerische Nationalbank (SNB) und die Finanzmarktaufsicht, Finma. Die SNB veröffentlicht jährlich einen Bericht zur Finanzstabilität der Banken. Die Finma führt ein Dossier zur TBTF-Frage. Die Behörde hat auch einen Bericht zu den Lehren aus der CS-Krise publiziert. Den Reformbedarf nach dem Untergang der Credit Suisse diskutiert zudem der Bericht der Expertengruppe «Bankenstabilität» von September 2023. Das Financial Stability Board (FSB) und die Bank für Internationalen Zahlungsausgleich (BIZ) haben ebenfalls Berichte zum Thema publiziert.","2024-04-10T14:31:00+02:00"
"Wie gerecht sind die 14.4 Millionen Franken Lohn für Ermotti?","14.4 Millionen Franken Entschädigung hat UBS-Chef Sergio Ermotti für neun Monate Arbeit erhalten – umgerechnet 80'000 Franken pro Tag. «Für mich als Staatsbürger ist diese Zahl kaum nachvollziehbar», sagt Peter V. Kunz. Der Professor für Wirtschaftsrecht an der Uni Bern beschäftigt sich schon lange mit Aktienrecht – und damit auch mit den Boni für Topmanager. Auf der anderen Seite bewegten sich die UBS und Ermotti in der freien Marktwirtschaft, so Kunz: «Löhne und Bonizahlungen sind eine Abmachung zwischen Bank und Angestellten.» Wenn die Bank bereit sei, diesen Betrag zu bezahlen, sei das höchstens dann ein Problem, falls die UBS in einigen Jahren vom Staat gerettet werden muss. «Denn dann war ihr Risikoverhalten vielleicht falsch.»  Auch im internationalen Vergleich hoher Lohn: Klar ist: Für Ermotti hat sich die Rückkehr zur UBS definitiv gelohnt. «Es ist eine sehr grosszügige Abgeltung für Herrn Ermotti», betont der Bankenprofessor. Das sei sogar im Vergleich mit grossen ausländischen Banken der Fall – etwa wenn man Ermottis Lohn mit jenem der Chefs der Deutschen Bank oder grosser französischer Banken vergleiche. Bei diesem hohen Betrag für Ermotti stellt sich die Frage, ob die Arbeit eines einzelnen Menschen derart viel wert sein kann. Schliesslich ist es nicht allein sein Verdienst, dass die UBS so gut durch das Übernahme-Jahr gekommen ist.  Rund 110'000 Angestellte stehen seit der Fusion mit der CS jeden Tag im Einsatz. «Auch die Angestellten an der Front am Bankschalter sind für den Erfolg mitverantwortlich», betont Kunz. Doch die grossen Boni würden nur die Manager der Bank erhalten.  Kommt hinzu: Wenn es schiefläuft mit der Bank, werden diese Manager kaum je belangt. «Die Manager profitieren also übermässig vom Guten – und wenn es schlecht läuft, werden sie kaum je bestraft», sagt der Bankenprofessor. Trotzdem: Das Unternehmen entscheidet selbst, welche Löhne es wem bezahlt. Im Detail bestimmen die Aktionärinnen und Aktionäre, wie hoch die Gesamtsumme der Entschädigung ausfällt, die Zuteilungen an die einzelnen Manager bestimmt der Verwaltungsrat des Unternehmens. Juristisch gesehen sind das also rein private Entscheide der Bank.  Kritik aus der Politik von der FDP: Politisch allerdings sieht es anders aus: So kritisierte FDP-Präsident Thierry Burkart schon kurz nach Bekanntwerden von Ermottis Entschädigung die hohe Summe auf der Plattform X. Solche Boni-Exzesse würden das Vertrauen der Bevölkerung in die Wirtschaft zerstören, schrieb er.  Und weiter: Eigentlich trage ja die Bevölkerung das Geschäftsrisiko, da die UBS als systemrelevant gilt und damit quasi über eine indirekte Staatsgarantie verfüge. «Als Politiker hat Burkart hier durchaus einen Punkt», sagt Bankenprofessor Kunz. Mit der Rettung der Credit Suisse sei die Schweiz ein Risiko von 260 Milliarden Franken eingegangen. Deshalb befinde sich die UBS derzeit «tatsächlich nicht ganz in einer Situation, in der ganz alles rein privatwirtschaftlich läuft». Faktisch habe die UBS eine Staatsgarantie. Deshalb sollte der Staat «eine gewisse Mitsprache» haben, so Kunz.","2024-03-28T18:44:00+01:00"
"UBS-Chef Ermotti verdient mehr als Vorgänger Hamers","Seit seiner Rückkehr zur UBS hat CEO Sergio Ermotti in neun Monaten 14.4 Millionen Franken verdient.Sein Vorgänger Ralph Hamers hatte für das Gesamtjahr 2022 12.6 Millionen Franken erhalten.Laut dem Geschäftsbericht 2023 erzielte die UBS vergangenes Jahr einen Reingewinn von 27.8 Milliarden US-Dollar. Von den 14.4 Millionen für Ermotti machten 2.1 Millionen das Fixgehalt und 12.3 Millionen den variablen Teil des Lohns aus, wie aus dem am Donnerstag veröffentlichten Geschäftsbericht hervorgeht. Die UBS sprach mit Blick auf letzteren von einem «Performance Award». An die gesamte Geschäftsleitung der grössten Schweizer Bank wurden 2023 insgesamt 140.3 Millionen ausbezahlt, im Vergleich zu 106.9 Millionen Franken im Jahr davor. Davon gingen 108.3 Millionen Franken auf Performanceprämien zurück, nach 81.1 Millionen 2022. Der Anstieg widerspiegle die angepasste Zusammensetzung der Konzernleitung zur Unterstützung der CS-Integration, inklusive vier zusätzlicher Mitglieder der Konzernleitung, erklärte die UBS. Ende 2023 hatte die Konzernleitung 15 Mitglieder. «Die Vergütungsstruktur für alle Mitarbeitenden, einschliesslich der Konzernleitung, blieb trotz der Übernahme der Credit Suisse im Jahr 2023 weitgehend unverändert», heisst es von der UBS. Die finanziellen Auswirkungen durch die CS-Übernahme seien nicht berücksichtigt worden, weder die positiven noch die negativen.  Treueprämien wegen Unsicherheit: Ausserdem wurden 2023 auch sogenannte Retention Awards gezahlt. Dabei handelt es sich um Zahlungen an Mitarbeiter, um diese an das Unternehmen zu binden. Solche seien bei einer Übernahme üblich, um wichtige Schlüsselpositionen zu halten. Insgesamt seien Retention Awards in der Höhe von 736 Millionen im Branchenvergleich für eine Integration dieser Grössenordnung eher gering, schreibt die UBS. Sie machten laut der Bank drei Prozent der gesamten Personalkosten im Jahr 2023 aus. Ermotti könnte länger bleiben: UBS-Chef Ermotti lässt die Tür offen für eine Verlängerung seiner Zeit an der Spitze der Grossbank. «Sergio hat sich verpflichtet, mindestens bis zum Abschluss des Integrationsprozesses zu bleiben, wenn nicht länger», heisst es in einem Brief vom Verwaltungsratspräsident Colm Kelleher an die Aktionäre. Im April 2023 hatte der UBS-Verwaltungsrat den früheren CEO Ermotti gebeten, wieder die Führung der Bank zu übernehmen, um die Übernahme der in Schieflage geratenen Credit Suisse zu vollziehen. Im vergangenen September hatte Ermotti angekündigt, den CEO-Posten bis Ende 2026 zu behalten. Bis dahin will die UBS früheren Angaben zufolge die Integration des einstigen Rivalen weitgehend abschliessen.  Plädoyer gegen verschärfte Regulierung: Ermotti und Kelleher sprachen sich erneut gegen eine deutliche Verschärfung der regulatorischen Rahmenbedingungen zur Verhinderung einer erneuten Grossbankenkrise aus. Zwar unterstütze die UBS viele der von Experten vorgeschlagenen gezielten Anpassungen in Bereichen wie Überwachung, Stresstests, Liquidität und der Verantwortlichkeit von Führungskräften. Forderungen nach höheren Kapitalvorgaben erteilten die beiden aber eine Absage. Die Tatsache, dass die UBS in der Lage gewesen sei, die Credit Suisse zu retten, obwohl für beide Institute das gleiche Regelwerk gegolten habe, zeige, dass die Kapitalanforderungen nicht das Problem gewesen seien. Ermotti und Kelleher deuteten an, dass die bisherigen Vorgaben nicht von allen angemessen eingeführt worden seien.","2024-03-28T07:55:00+01:00"
"Finma will mehr Kompetenzen – und höhere Anforderungen für UBS","Die Finanzmarktaufsicht Finma fordert stärkere gesetzliche Grundlagen sowie zusätzliche Kompetenzen für ihre Tätigkeit. Nach der Übernahme der CS durch die UBS hat sie ihre Grossbankenaufsicht verstärkt.  Gleichzeitig wolle die Finma in ihrer Aufsichtstätigkeit «im Lichte der historischen Ereignisse um die Credit Suisse» ihren Ermessensspielraum mit ihren bestehenden Instrumenten stärker ausschöpfen, sagte Finma-Verwaltungsrats­präsidentin Marlene Amstad an der Jahresmedienkonferenz. Sie nannte dabei etwa die Anforderungen an die Liquidität sowie an die Stabilisierungspläne der Institute.  Wie stark die Liquiditätsanforderungen nun für die einzig verbliebene Grossbank UBS konkret gestiegen sind, wollte Thomas Hirschi, Leiter Geschäftsbereich Banken, nicht sagen. Die zusätzlichen Liquiditätsanforderungen an die fusionierte Grossbank seien aber «bedeutend höher» als bisher, betonte er.  Die kombinierte Grossbank müsse per 2030 auch mit deutlich höheren Anforderungen an die Eigenmittel rechnen. Wie hoch diese ausfallen würden, werde dabei nicht zuletzt von der Grösse der Bank und von ihrer Systemrelevanz zu jenem Zeitpunkt abhängen. «Es wird aber ein bedeutender Kapitalaufbau werden.» Die UBS werde damit ab dem Jahr 2026 beginnen.  Nach dem Zusammenschluss von UBS und CS hat die Finma ihre bisher bestehenden Teams der Grossbankenaufsicht zusammengelegt und ausgebaut, heisst es an der Medienkonferenz. Derzeit seien bei der Finma rund 60 Vollzeitstellen direkt und indirekt mit der UBS beschäftigt, präzisierte Hirschi.  Im laufenden Jahr hat die Behörde bei der Grossbank der UBS 40 Vor-Ort-Kontrollen geplant, wobei sie im Ausland auch mit den dortigen Aufsichtsbehörden zusammenarbeitet. «Fast jede Woche beschäftigt sich irgendwo auf der Welt ein Team der Finma mit einem Geschäftsbereich der UBS», betonte Hirschi. Geplant seien zudem zwei Stresstests.  Internationale Ausnahme : Die Finma-Präsidentin betonte vor den Medien erneut, dass die Behörde auch neue Instrumente für ihre Tätigkeit benötige. Im Vordergrund stehen dabei das «Senior Management Regime» – also klare Verantwortlichkeiten bestimmter Bankmanager für einzelne Geschäfte – sowie die Kompetenz zur Verhängung von Bussen. Zudem möchte die Finma über abgeschlossene Verfahren öffentlich kommunizieren können. International sei die Finma mit der fehlenden Bussenkompetenz die klare Ausnahme, betonte die Präsidentin.  Während das «Senior Management Regime» auch bei Bankenvertretern in den vergangenen Monaten auf grundsätzliche Zustimmung gestossen ist, könnte es vor allem die Forderung der Finma nach einer Bussenkompetenz deutlich schwerer haben: So hatte die Bankiervereinigung unlängst ihre klare Ablehnung gegen das Ansinnen signalisiert.  Über 700 Enforcement-Abklärungen : Insgesamt nahm die Finma 2023 im Enforcement 732 Abklärungen (Vorjahr 850) vor und schloss 27 Verfahren gegen Gesellschaften respektive Personen ab. Grundsätzlich sei der Erfolg in den allermeisten Verfahren gut, betonte Amstad: «Bei über 90 Prozent der Fälle wird der ordnungsgemässe Zustand innerhalb von drei Monaten wieder hergestellt.»  Zudem führte die Behörde 2023 insgesamt 96 Vor-Ort-Kontrollen bei Schweizer Banken durch (Vorjahr 113 Kontrollen). Kontrolliert wurden auch Versicherungsunternehmen: Insgesamt kam es zu 51 (Vorjahr 50) Kontrollen vor Ort. Der Fokus bei den Versicherern richtete sich dabei auf die Bereiche Lebensversicherung, Geldwäscherei sowie auf Cyberrisiken.","2024-03-20T09:32:00+01:00"
"Das Quiz zur Übernahme der CS durch die UBS","Der 19. März 2023 wurde zum Schicksalstag für die Credit Suisse: An diesem Tag wurde nach einer schweren Krise die geplante Übernahme der Credit Suisse Group AG durch die Konkurrentin UBS Group AG bekannt gegeben. Der Bundesrat beschliesst per Notrecht umfangreiche Finanzhilfen zugunsten von Credit Suisse und UBS. Knapp drei Monate später konnte die Übernahme vollzogen werden – die CS-Aktien wurden am 13. Juni 2023 in UBS-Aktien umgewandelt und von den Börsen in Zürich sowie New York dekotiert. Ende August 2023 wurde bekannt, dass das Schweizer Bankgeschäft der CS vollständig in die UBS integriert wird. «News Plus» hat die letzten 100 Stunden der Grossbank in einem Podcast dokumentiert: Hier kann man die fünf Folgen hören. Was wissen Sie über Geld und die zwei Schweizer Grossbanken? Testen Sie Ihr Wissen. Noch nicht genug vom Rätseln? Dann können Sie alle Folgen von «3 vo 5» nachhören und miträtseln.","2024-03-18T14:53:00+01:00"
"UBS will in der Schweiz 85 Bankfilialen schliessen","Nach der Übernahme der Credit Suisse will die UBS in der Schweiz 85 Filialen schliessen. Dies erklärte eine UBS-Sprecherin und bestätigte damit einen Bericht der «Aargauer Zeitung». Betroffen seien Standorte, wo UBS und CS-Filialen unmittelbar nebeneinander stehen.  Bereits nächsten Monat sollen laut dem Bericht erste Filialen geschlossen werden. Dabei handle es sich um Pilotprojekte – damit wolle die UBS Erfahrungen sammeln für weitere Zusammenlegungen von Filialen.: Gegenwärtig ist die UBS an rund 190 Standorten tätig, die Credit Suisse an 95. Bei der Veröffentlichung des Jahresabschlusses im Februar hatte UBS-Chef Sergio Ermotti erklärt, dass die Zahl der Geschäftsstellen im Verlauf der Jahre 2024 und 2025 angepasst werden dürfte und zum Schluss wohl eine ähnliche Zahl übrig bleibe, wie sie die UBS gegenwärtig unterhalte. Nach der vor knapp einem Jahr angekündigten Notübernahme will die UBS die konzernweiten Kosten um rund 13 Milliarden Dollar drücken. Start mit fünf «Pilotfilialen» in der Deutschschweiz, Romandie und Tessin : Die Pilotphase soll im April beginnen. Dazu hat die Grossbank fünf «Pilotfilialen» auserwählt. Dabei handelt es sich um Mendrisio im Südtessin, den jurassischen Hauptort Delémont, die beiden Aargauer Gemeinden Rheinfelden und Frick sowie Grenchen in Solothurn. Bei diesen fünf Filialen will die UBS nach eigenen Angaben «Erfahrungen» sammeln. Danach werden im Laufe des dritten Quartals, zwischen Juli und September 2024, weitere «rund 20 Standorte konsolidiert», wie es bei der UBS weiter heisst. Konkretere Angaben will die UBS hierzu derzeit noch nicht machen.","2024-03-08T08:24:00+01:00"
"Weko plädiert für stärkere Untersuchung der UBS-Marktdominanz","Die Schweizerische Wettbewerbskommission (Weko) hat sich für eine vertiefte Untersuchung der Marktmacht der UBS nach der CS-Übernahme ausgesprochen.Bestimmte Teile des Marktes sollen der Empfehlung der Weko zufolge genauer angeschaut werden.  Einen entsprechenden Bericht über die Auswirkungen der Übernahme soll die Weko bereits Ende 2023 an die Finma, die eidgenössische Finanzmarktaufsicht, übermittelt haben, wie die Nachrichtenagentur Reuters am Donnerstag unter Berufung auf eine Insiderquelle berichtete.  Das Papier sei jedoch für die Finma nicht bindend. Jedoch könne es die Entscheidung der Finma beeinflussen. So habe die UBS etwa im Bereich des Schweizer Anleihemarktes eine dominante Position inne.  Auf Anfrage der Nachrichtenagentur AWP bestätige die Weko, dass ein entsprechender Bericht an die Finma übergeben wurde. Dieser werde jedoch erst nach der Entscheidung der Finma veröffentlicht, so ein Sprecher.  Die Verantwortung für die Fusion von Banken liegt dem Gesetz nach bei der Finma, sagte er weiter. Die Weko könne nur Empfehlungen aussprechen. Ein Entscheid steht noch aus: Der Bericht enthalte Empfehlungen zur Förderung des Wettbewerbs in gewissen Bereichen, schrieb Reuters weiter. Zum konkreten Inhalt wollte sich die Wettbewerbsbehörde jedoch nicht äussern.  Die Finma bestätigte gegenüber AWP, dass eine «Prüfung der Auswirkungen des Zusammenschlusses auf den Wettbewerb im Gange» ist. Bekanntlich wurde der Zusammenschluss der Grossbanken schon am 19. März 2023 vorzeitig bewilligt. Eine konkrete Stellungnahme zu möglichen weiteren Schritten macht die Behörde jedoch nicht. Auch wollte sie sich noch nicht dazu äussern, wann der Entscheid schliesslich gefällt werden wird. Die UBS wollte sich nicht zum Beitrag äussern.","2024-03-01T07:52:00+01:00"
"Finma und UBS: Wie kontrolliert man eine Gigantin?","Seit dem Zusammenbruch der Credit Suisse steht die Finanzmarktaufsicht Finma in der Kritik. Mit ihrem Bericht hat sie im Dezember den Befreiungsschlag versucht. Markus Diem Meier kommt dieses Verhalten der Finma bekannt vor: «Auch schon bei Greensill oder Archegos [ein Lieferketten-Fonds und eine Hedgefonds, die Milliarden-Abschreiber nach sich zogen, Anm. d. R.] hat sie intensiv aufgezählt, welche Warnungen sie ausgesprochen hatte«, sagt der Chefredaktor der «Handelszeitung» im «Eco Talk».  «Aber der Punkt ist: Es hat bei der CS niemanden interessiert. Das hält sie sogar selbst fest.» Das Problem: Die Finma könne nicht wirklich «beissen». Florence Vuichard, die bei CH Media das Wirtschaftsressort leitet, glaubt, Bussen könnten zum «Verkaufen einer Strafe» helfen: «Sagen zu können, eine Milliarde oder 500'000, das ist griffig. Denn so ein Enforcement-Verfahren liest ja niemand.» Das Enforcement-Verfahren ist ein Instrument der Finma, das sie bei Verdacht auf Verletzung des Aufsichtsrechts einleiten kann. Es kann zum Verlust der Banklizenz oder zum Berufsverbot für einzelne Personen führen. «Die Finma hat sicher keinen einfachen Job», sagt Suzanne Ziegler, Professorin für Banking und Finance an der Zürcher Hochschule für Angewandte Wissenschaften ZHAW. Aber: «Ich bin nicht sicher, ob Bussen Wirkung hätten. Denn wer zahlt es am Schluss? Das ist die Bank oder eine Versicherung. Sicher nicht die Personen selbst.» Gewährsprüfungen ausdehnen: Suzanne Ziegler sagt, die Finma hätte schon heute eine Möglichkeit, die sie nicht ausschöpfe. «Sie macht Gewährsprüfungen etwa von Personen, die in einen Verwaltungsrat kommen. Das könnte man ausdehnen.»  Man könne etwa das fachliche Knowhow prüfen. In Grossbritannien würden bereits «harte Tests» durchgeführt, um beurteilen zu können, ob Anwärter oder Anwärterinnen das erforderliche Fachwissen mitbrächten. Mit Tidjane Thiam und Urs Rohner etwa sassen von 2015 bis 2020 bei der Credit Suisse Personen an Schlüsselpositionen, die ursprünglich nicht aus der Bankbranche stammten. Konzernchef Tidjane Thiam kam vom Versicherungskonzern Prudential. Urs Rohner war zwar bereits in leitender Stellung bei der Grossbank, ist aber von Haus aus Jurist. «Keine Absicherung» bei UBS: Zur aktuellen UBS sagt Markus Diem Meier: «In den jüngsten Zahlen sehe ich kein Risiko. Aber wir haben keine Absicherung, wenn es wieder in die falsche Richtung läuft. Und das beunruhigt mich.» Denn einer Aussage pflichten alle drei bei: Eine nächste Bankenkrise wird kommen. «Wir müssen damit leben», sagt Suzanne Ziegler von der ZHAW, die zum Thema «Banken in Schieflage» promoviert hat. «Es wird immer Bankenkrisen geben. Und wir haben keine Garantie, dass die UBS etwas anderes macht.»  «Vielleicht müssen wir einfach den Schaden möglichst minimieren», sagt Florence Vuichard von CH Media. Sie setzt Hoffnungen in den «Too-bit-to-fail»-Bericht des Bundesrates, der in diesem Frühjahr erscheinen soll.","2024-02-12T21:53:00+01:00"
